Name,Author,Genre,Price,Reviews,Year,User Rating
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,Fiction,9,7251.0,2010,4.7
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,Fiction,2,10559.0,2010,4.4
The Help,Kathryn Stockett,Fiction,6,13871.0,2010,4.8
The Hunger Games,Suzanne Collins,Fiction,14,32122.0,2010,4.7
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non Fiction,13,9289.0,2010,4.7
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Fiction,7,4628.0,2010,4.8
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,Fiction,14,4506.0,2010,4.8
The Official SAT Study Guide,The College Board,Non Fiction,40,1201.0,2010,4.4
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,Fiction,12,2186.0,2010,4.6
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,Non Fiction,14,1204.0,2010,4.6
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,Fiction,0,2122.0,2010,4.6
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,Fiction,12,3796.0,2010,4.8
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Non Fiction,11,3319.0,2010,4.3
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,Fiction,21,2282.0,2010,4.8
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,16,29673.0,2010,4.8
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,Non Fiction,11,1302.0,2010,4.2
11/22/63: A Novel,Stephen King,Fiction,22,2052.0,2011,4.6
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,Fiction,11,12643.0,2011,4.4
A Stolen Life: A Memoir,Jaycee Dugard,Non Fiction,32,4149.0,2011,4.6
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,Fiction,0,4505.0,2011,4.8
Catching Fire (The Hunger Games),Suzanne Collins,Fiction,11,22614.0,2011,4.7
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Non Fiction,14,1542.0,2011,4.7
Cutting for Stone,Abraham Verghese,Fiction,11,4866.0,2011,4.6
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,Fiction,4,2094.0,2011,4.2
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,Non Fiction,9,6346.0,2011,4.5
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Fiction,5,5594.0,2011,4.6
Go the F**k to Sleep,Adam Mansbach,Fiction,9,9568.0,2011,4.8
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Non Fiction,14,3457.0,2011,4.5
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,10,15779.0,2011,4.7
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,Non Fiction,21,4571.0,2011,4.4
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,Fiction,20,5299.0,2011,4.6
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,8,19576.0,2011,4.9
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,10,9342.0,2011,4.7
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,Non Fiction,13,1649.0,2011,4.2
Mockingjay (The Hunger Games),Suzanne Collins,Fiction,8,26741.0,2011,4.5
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Non Fiction,13,3163.0,2011,4.6
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,46,8580.0,2011,4.5
Radical: Taking Back Your Faith from the American Dream,David Platt,Non Fiction,9,1985.0,2011,4.7
Steve Jobs,Walter Isaacson,Non Fiction,20,7827.0,2011,4.6
StrengthsFinder 2.0,Gallup,Non Fiction,17,5069.0,2011,4.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Non Fiction,20,637.0,2011,4.4
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,Non Fiction,22,2314.0,2011,4.3
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,Non Fiction,21,4587.0,2011,4.3
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,28,3477.0,2011,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,24,9325.0,2011,4.6
The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,10,11813.0,2011,4.7
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,Non Fiction,21,4633.0,2011,4.7
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,Non Fiction,15,2023.0,2011,4.1
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,6,3207.0,2011,4.6
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Fiction,14,7747.0,2011,4.7
The Help,Kathryn Stockett,Fiction,8,13871.0,2011,4.8
The Help,Kathryn Stockett,Fiction,7,13871.0,2011,4.8
The Hunger Games (Book 1),Suzanne Collins,Fiction,8,32122.0,2011,4.7
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,30,16949.0,2011,4.8
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non Fiction,9,9289.0,2011,4.7
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Non Fiction,13,4247.0,2011,4.4
The Litigators,John Grisham,Fiction,18,6222.0,2011,4.4
The Official SAT Study Guide,The College Board,Non Fiction,40,1201.0,2011,4.4
The Paris Wife: A Novel,Paula McLain,Fiction,16,3759.0,2011,4.3
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,Fiction,10,4290.0,2011,4.8
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,Fiction,10,1463.0,2011,4.7
"Thinking, Fast and Slow",Daniel Kahneman,Non Fiction,19,11034.0,2011,4.6
Tina Fey: Bossypants,Tina Fey,Non Fiction,12,5977.0,2011,4.3
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,16,29673.0,2011,4.8
Water for Elephants: A Novel,Sara Gruen,Fiction,12,8958.0,2011,4.5
What to Expect When You're Expecting,Heidi Murkoff,Non Fiction,9,3341.0,2011,4.4
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,Non Fiction,24,1296.0,2012,4.8
Catching Fire (The Hunger Games),Suzanne Collins,Fiction,11,22614.0,2012,4.7
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,Non Fiction,9,6346.0,2012,4.5
Fifty Shades Darker,E L James,Fiction,7,23631.0,2012,4.4
